Supplier ID,SF1,SF2,SF3,SF4,SF5,SF6,SF7,SF8,SF9,SF10,SF11,SF12,SF13,SF14,SF15,SF16,SF17,SF18
S1,-0.8181818181818181,-0.05263157894736836,-0.05263157894736836,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,0.33333333333333326,-0.7073170731707317,-0.05263157894736836,-0.6326530612244898,-0.05263157894736836,0.1428571428571428,-0.05263157894736836,-0.05263157894736836,-0.5384615384615385,0.20000000000000018,-0.996,0.5
S2,-0.8181818181818181,-0.05263157894736836,-0.05263157894736836,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,-1.0,-0.7073170731707317,-0.05263157894736836,-0.6326530612244898,-0.05263157894736836,0.1428571428571428,-0.05263157894736836,-0.05263157894736836,-0.5384615384615385,0.20000000000000018,-0.996,0.5
S3,-0.8181818181818181,-0.05263157894736836,-0.05263157894736836,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,0.33333333333333326,-0.7073170731707317,-0.05263157894736836,-0.6326530612244898,-0.05263157894736836,0.1428571428571428,-0.05263157894736836,-0.05263157894736836,-0.5384615384615385,0.20000000000000018,-1.0,0.5
S4,-0.8181818181818181,-0.05263157894736836,-0.05263157894736836,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,0.33333333333333326,-0.7073170731707317,-0.05263157894736836,-0.6326530612244898,-0.05263157894736836,0.1428571428571428,-0.05263157894736836,-0.05263157894736836,-0.5384615384615385,0.20000000000000018,-0.8,0.5
S5,-0.9999999999999999,-0.05263157894736836,-0.9999999999999999,1.0000000000000002,1.0000000000000002,-0.8181818181818181,0.33333333333333326,-0.7073170731707317,-0.9999999999999999,-0.6326530612244898,1.0,1.0,1.0,-0.9999999999999999,0.9999999999999998,0.20000000000000018,-0.3999999999999999,-1.0
S6,-0.9999999999999999,-0.9999999999999999,1.0,-0.9999999999999999,1.0000000000000002,1.0000000000000002,-0.33333333333333337,-1.0,1.0,-1.0,1.0,-0.9999999999999999,-0.9999999999999999,1.0,-0.5384615384615385,0.20000000000000018,-0.7,-1.0
S7,-0.8181818181818181,1.0,-0.05263157894736836,-0.9999999999999999,-0.8181818181818181,-0.9999999999999999,-0.33333333333333337,-0.7073170731707317,1.0,-1.0,-0.05263157894736836,0.1428571428571428,1.0,-0.9999999999999999,0.9999999999999998,1.0,-0.7,0.5
S8,-0.8181818181818181,-0.05263157894736836,-0.9999999999999999,-0.8181818181818181,-0.9999999999999999,-0.9999999999999999,-0.33333333333333337,-0.7073170731707317,-0.9999999999999999,-0.6326530612244898,-0.9999999999999999,0.1428571428571428,1.0,1.0,-0.5384615384615385,1.0,-0.3999999999999999,-1.0
S9,1.0000000000000002,1.0,-0.9999999999999999,1.0000000000000002,-0.8181818181818181,1.0000000000000002,1.0,-0.7073170731707317,-0.9999999999999999,-1.0,1.0,-0.9999999999999999,-0.05263157894736836,-0.9999999999999999,-0.5384615384615385,1.0,-0.96,0.5
S10,-0.9999999999999999,-0.05263157894736836,-0.9999999999999999,1.0000000000000002,-0.8181818181818181,1.0000000000000002,1.0,-0.7073170731707317,-0.05263157894736836,-0.6326530612244898,-0.05263157894736836,1.0,1.0,1.0,-0.5384615384615385,1.0,1.0,1.0
S11,1.0000000000000002,1.0,-0.05263157894736836,1.0000000000000002,-0.8181818181818181,1.0000000000000002,1.0,-0.7073170731707317,1.0,-0.6326530612244898,-0.9999999999999999,-0.9999999999999999,-0.05263157894736836,-0.9999999999999999,0.9999999999999998,1.0,1.0,1.0
S12,1.0000000000000002,-0.9999999999999999,-0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.33333333333333326,1.0000000000000002,-0.9999999999999999,-1.0,-0.9999999999999999,0.1428571428571428,-0.9999999999999999,-0.05263157894736836,0.9999999999999998,-1.0,-0.7,0.5
S13,1.0000000000000002,-0.05263157894736836,1.0,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,1.0,1.0000000000000002,1.0,-1.0,-0.05263157894736836,0.1428571428571428,-0.05263157894736836,1.0,-1.0,0.20000000000000018,1.0,-1.0
S14,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.8181818181818181,-0.9999999999999999,1.0000000000000002,-0.33333333333333337,1.0000000000000002,-0.05263157894736836,-0.6326530612244898,1.0,0.1428571428571428,-0.05263157894736836,-0.9999999999999999,-1.0,-1.0,-0.7,0.5
S15,-0.8181818181818181,-0.9999999999999999,-0.05263157894736836,1.0000000000000002,1.0000000000000002,-0.9999999999999999,0.33333333333333326,-1.0,-0.9999999999999999,-0.6326530612244898,1.0,1.0,-0.9999999999999999,1.0,-1.0,0.20000000000000018,1.0,1.0
S16,1.0000000000000002,-0.9999999999999999,-0.9999999999999999,1.0000000000000002,-0.9999999999999999,-0.9999999999999999,0.33333333333333326,1.0000000000000002,-0.9999999999999999,1.0,-0.05263157894736836,0.1428571428571428,-0.05263157894736836,-0.05263157894736836,0.9999999999999998,0.20000000000000018,-0.3999999999999999,1.0
S17,1.0000000000000002,1.0,1.0,-0.8181818181818181,1.0000000000000002,-0.9999999999999999,0.33333333333333326,-0.7073170731707317,-0.05263157894736836,1.0,-0.9999999999999999,0.1428571428571428,1.0,-0.9999999999999999,0.9999999999999998,-1.0,-0.3999999999999999,0.5
S18,-0.9999999999999999,1.0,-0.9999999999999999,-0.8181818181818181,1.0000000000000002,-0.8181818181818181,0.33333333333333326,-1.0,1.0,-0.6326530612244898,1.0,1.0,-0.9999999999999999,-0.05263157894736836,-0.5384615384615385,-1.0,1.0,1.0
S19,1.0000000000000002,1.0,1.0,-0.8181818181818181,1.0000000000000002,-0.9999999999999999,-0.33333333333333337,1.0000000000000002,-0.05263157894736836,-1.0,-0.05263157894736836,-0.9999999999999999,-0.05263157894736836,-0.05263157894736836,-1.0,0.20000000000000018,1.0,0.5
